Time_point	Streptomycin	Immigration	Predation	Replicate	Ciliates_ml	OD600
4	0	0	0	1	NA	0.1362
4	0	0	0	2	NA	0.126
4	0	0	0	3	NA	0.1313
4	0	0	0	4	NA	0.1256
4	0	0	0	5	NA	0.1405
4	0	0	0	6	NA	0.1471
4	0	0	0	7	NA	0.1458
4	0	0	0	8	NA	0.1435
4	4	0	0	1	NA	0.1185
4	4	0	0	2	NA	0.1143
4	4	0	0	3	NA	0.123
4	4	0	0	4	NA	0.1148
4	4	0	0	5	NA	0.1263
4	4	0	0	6	NA	0.1229
4	4	0	0	7	NA	0.127
4	4	0	0	8	NA	0.1251
4	0	1	0	1	NA	0.1219
4	0	1	0	2	NA	0.1229
4	0	1	0	3	NA	0.1275
4	0	1	0	4	NA	0.1229
4	0	1	0	5	NA	0.1195
4	0	1	0	6	NA	0.1322
4	0	1	0	7	NA	0.1321
4	0	1	0	8	NA	0.1289
4	4	1	0	1	NA	0.1298
4	4	1	0	2	NA	0.1316
4	4	1	0	3	NA	0.1331
4	4	1	0	4	NA	0.128
4	4	1	0	5	NA	0.1371
4	4	1	0	6	NA	0.1348
4	4	1	0	7	NA	0.1362
4	4	1	0	8	NA	0.1384
4	0	0	1	1	108	0.053
4	0	0	1	2	81	0.0517
4	0	0	1	3	144	0.0544
4	0	0	1	4	85	0.0546
4	0	0	1	5	NA	0.0546
4	0	0	1	6	NA	0.0602
4	0	0	1	7	NA	0.0552
4	0	0	1	8	NA	0.0561
4	4	0	1	1	149	0.0544
4	4	0	1	2	73	0.0504
4	4	0	1	3	141	0.0547
4	4	0	1	4	92	0.0522
4	4	0	1	5	74	0.053
4	4	0	1	6	76	0.0527
4	4	0	1	7	109	0.0547
4	4	0	1	8	99	0.0549
4	0	1	1	1	121	0.0529
4	0	1	1	2	91	0.0533
4	0	1	1	3	72	0.0527
4	0	1	1	4	66	0.0513
4	0	1	1	5	75	0.0534
4	0	1	1	6	62	0.0524
4	0	1	1	7	99	0.0538
4	0	1	1	8	108	0.0522
4	4	1	1	1	82	0.0523
4	4	1	1	2	75	0.0503
4	4	1	1	3	62	0.0522
4	4	1	1	4	104	0.0514
4	4	1	1	5	66	0.0508
4	4	1	1	6	81	0.0515
4	4	1	1	7	119	0.0554
4	4	1	1	8	118	0.0545
4	16	0	0	1	NA	0.1395
4	16	0	0	2	NA	0.1396
4	16	0	0	3	NA	0.136
4	16	0	0	4	NA	0.1356
4	16	0	0	5	NA	0.1226
4	16	0	0	6	NA	0.1348
4	16	0	0	7	NA	0.1306
4	16	0	0	8	NA	0.134
4	128	0	0	1	NA	0.1263
4	128	0	0	2	NA	0.1321
4	128	0	0	3	NA	0.1302
4	128	0	0	4	NA	0.1276
4	128	0	0	5	NA	0.1274
4	128	0	0	6	NA	0.1251
4	128	0	0	7	NA	0.1279
4	128	0	0	8	NA	0.1236
4	16	1	0	1	NA	0.1251
4	16	1	0	2	NA	0.1294
4	16	1	0	3	NA	0.1353
4	16	1	0	4	NA	0.128
4	16	1	0	5	NA	0.1275
4	16	1	0	6	NA	0.144
4	16	1	0	7	NA	0.1222
4	16	1	0	8	NA	0.1236
4	128	1	0	1	NA	0.1301
4	128	1	0	2	NA	0.1259
4	128	1	0	3	NA	0.1287
4	128	1	0	4	NA	0.1389
4	128	1	0	5	NA	0.1271
4	128	1	0	6	NA	0.1426
4	128	1	0	7	NA	0.1374
4	128	1	0	8	NA	0.1316
4	16	0	1	1	NA	0.055
4	16	0	1	2	NA	0.0559
4	16	0	1	3	NA	0.0581
4	16	0	1	4	NA	0.0543
4	16	0	1	5	NA	0.0604
4	16	0	1	6	NA	0.0602
4	16	0	1	7	NA	0.0672
4	16	0	1	8	NA	0.0557
4	128	0	1	1	NA	0.0557
4	128	0	1	2	NA	0.0547
4	128	0	1	3	NA	0.0548
4	128	0	1	4	NA	0.0554
4	128	0	1	5	NA	0.0582
4	128	0	1	6	NA	0.0552
4	128	0	1	7	NA	0.0529
4	128	0	1	8	NA	0.0535
4	16	1	1	1	NA	0.056
4	16	1	1	2	NA	0.0547
4	16	1	1	3	NA	0.0575
4	16	1	1	4	NA	0.0552
4	16	1	1	5	NA	0.0535
4	16	1	1	6	NA	0.0553
4	16	1	1	7	NA	0.0531
4	16	1	1	8	NA	0.0534
4	128	1	1	1	NA	0.0571
4	128	1	1	2	NA	0.0563
4	128	1	1	3	NA	0.0552
4	128	1	1	4	NA	0.0541
4	128	1	1	5	NA	0.058
4	128	1	1	6	NA	0.0553
4	128	1	1	7	NA	0.055
4	128	1	1	8	NA	0.0585
8	0	0	0	1	NA	0.1377
8	0	0	0	2	NA	0.1337
8	0	0	0	3	NA	0.1378
8	0	0	0	4	NA	0.133
8	0	0	0	5	NA	0.1359
8	0	0	0	6	NA	0.1376
8	0	0	0	7	NA	0.1342
8	0	0	0	8	NA	0.1322
8	4	0	0	1	NA	0.1354
8	4	0	0	2	NA	0.1299
8	4	0	0	3	NA	0.1314
