"TREATMENT"	"Immigration"	"Streptomycin"	"Replicate"	"Day"
"T12_I0_AB0_REP1"	"0"	"0"	"1"	"48"
"T12_I0_AB0_REP2"	"0"	"0"	"2"	"48"
"T12_I0_AB0_REP3"	"0"	"0"	"3"	"48"
"T12_I0_AB0_REP4"	"0"	"0"	"4"	"48"
"T12_I0_AB0_REP5"	"0"	"0"	"5"	"48"
"T12_I0_AB0_REP6"	"0"	"0"	"6"	"48"
"T12_I0_AB0_REP7"	"0"	"0"	"7"	"48"
"T12_I0_AB0_REP8"	"0"	"0"	"8"	"48"
"T12_I0_AB128_REP1"	"0"	"128"	"1"	"48"
"T12_I0_AB128_REP2"	"0"	"128"	"2"	"48"
"T12_I0_AB128_REP3"	"0"	"128"	"3"	"48"
"T12_I0_AB128_REP4"	"0"	"128"	"4"	"48"
"T12_I0_AB128_REP5"	"0"	"128"	"5"	"48"
"T12_I0_AB128_REP6"	"0"	"128"	"6"	"48"
"T12_I0_AB128_REP7"	"0"	"128"	"7"	"48"
"T12_I0_AB128_REP8"	"0"	"128"	"8"	"48"
"T12_I0_AB16_REP1"	"0"	"16"	"1"	"48"
"T12_I0_AB16_REP2"	"0"	"16"	"2"	"48"
"T12_I0_AB16_REP3"	"0"	"16"	"3"	"48"
"T12_I0_AB16_REP4"	"0"	"16"	"4"	"48"
"T12_I0_AB16_REP5"	"0"	"16"	"5"	"48"
"T12_I0_AB16_REP6"	"0"	"16"	"6"	"48"
"T12_I0_AB16_REP8"	"0"	"16"	"8"	"48"
"T12_I0_AB4_REP1"	"0"	"4"	"1"	"48"
"T12_I0_AB4_REP2"	"0"	"4"	"2"	"48"
"T12_I0_AB4_REP3"	"0"	"4"	"3"	"48"
"T12_I0_AB4_REP4"	"0"	"4"	"4"	"48"
"T12_I0_AB4_REP5"	"0"	"4"	"5"	"48"
"T12_I0_AB4_REP6"	"0"	"4"	"6"	"48"
"T12_I0_AB4_REP7"	"0"	"4"	"7"	"48"
"T12_I0_AB4_REP8"	"0"	"4"	"8"	"48"
"T12_I1_AB0_REP1"	"1"	"0"	"1"	"48"
"T12_I1_AB0_REP2"	"1"	"0"	"2"	"48"
"T12_I1_AB0_REP3"	"1"	"0"	"3"	"48"
"T12_I1_AB0_REP4"	"1"	"0"	"4"	"48"
"T12_I1_AB0_REP5"	"1"	"0"	"5"	"48"
"T12_I1_AB0_REP6"	"1"	"0"	"6"	"48"
"T12_I1_AB0_REP7"	"1"	"0"	"7"	"48"
"T12_I1_AB0_REP8"	"1"	"0"	"8"	"48"
"T12_I1_AB128_REP1"	"1"	"128"	"1"	"48"
"T12_I1_AB128_REP2"	"1"	"128"	"2"	"48"
"T12_I1_AB128_REP3"	"1"	"128"	"3"	"48"
"T12_I1_AB128_REP4"	"1"	"128"	"4"	"48"
"T12_I1_AB128_REP5"	"1"	"128"	"5"	"48"
"T12_I1_AB128_REP7"	"1"	"128"	"7"	"48"
"T12_I1_AB128_REP8"	"1"	"128"	"8"	"48"
"T12_I1_AB16_REP1"	"1"	"16"	"1"	"48"
