K_growth	r_growth	Streptomycin_MIC	Aminoglycoside_resistance_gene	Carbon_sources
Acinetobacter_lwoffii_HAMBI_97	0.198313455	0.36930207	-1.66073120682165	0	8
Aeromonas_caviae_HAMBI_1972	0.312050581	0.820623772	-0.287682072451781	0	16
Agrobacterium_tumefaciens_HAMBI_105	0.473820741	0.339024646	2.484906649788	0	15
Azorhizobium_caulinodans_HAMBI_216	0.199279343	0.3530889	1.09861228866811	0	15
Azospirillum_brasilense_HAMBI_3172	0.314382281	0.379717492	0.405465108108164	1	13
Bordetella_avium_HAMBI_2160	0.051625781	0.227472073	1.79175946922805	1	9
Brevundimonas_bullata_HAMBI_262	0.187735054	0.326003468	-0.967584026261706	0	9
Chitinophaga_sancti_HAMBI_1988	0.379086658	0.089235126	-0.693147180559945	0	3
Citrobacter_koseri_HAMBI_1287	0.387744757	0.619079739	3.17805383034795	1	16
Comamonas_testosteroni_HAMBI_403	0.206252382	0.758360388	3.46573590279973	0	16
Cupriavidus_necator_HAMBI_2164	0.097600234	0.545281868	0.693147180559945	1	2
Elizabethkingia_meningoseptica_HAMBI_1875	0.277622314	0.500555121	2.77258872223978	0	9
Escherichia_coli_JE2571_RP4	0.246179391	0.888076378	6.93147180559945	1	3
Hafnia_alvei_HAMBI_1279	0.099442655	0.884446275	-1.38629436111989	1	7
Kluyvera_intermedia_HAMBI_1299	0.301864607	0.722410045	-0.287682072451781	1	15
Moraxella_canis_HAMBI_2792	0.243003144	0.334865345	-0.693147180559945	0	0
Morganella_morganii_HAMBI_1292	0.215482466	0.849023977	-1.66073120682165	1	3
Myroides_odoratus_HAMBI_1923	0.05669627	0.234300491	2.484906649788	0	10
Niabella_yanshanensis_HAMBI_3031	0.338082085	0.200186876	1.79175946922805	0	10
Paraburkholderia_caryophylli_HAMBI_2159	0.406740709	0.398287684	-0.967584026261706	1	18
Paracoccus_denitrificans_HAMBI_2443	0.498963241	0.412778243	0.693147180559945	1	3
Pseudomonas_chlororaphis_HAMBI_1977	0.427565047	0.833646843	2.07944154167984	1	16
Pseudomonas_putida_HAMBI_6	0.386629841	0.509971013	1.79175946922805	1	14
Roseomonas_gilardii_HAMBI_2470	0.550307931	0.108955825	-0.287682072451781	0	5
Sphingobacterium_multivorum_HAMBI_1874	0.373996547	0.53320551	5.25749537202778	0	6
Sphingobacterium_spiritivorum_HAMBI_1896	0.324579121	0.352044528	6.93147180559945	0	16
Sphingobium_yanoikuyae_HAMBI_1842	0.428166099	0.270343491	3.87120101090789	0	8
Stenotrophomonas_maltophilia_HAMBI_2659	0.081574677	0.80488747	3.87120101090789	1	6
