"TREATMENT"	"Citrobacter_koseri_HAMBI_1287"	"Elizabethkingia_meningoseptica_HAMBI_1875"	"Aeromonas_caviae_HAMBI_1972"	"Pseudomonas_chlororaphis_HAMBI_1977"	"Sphingobacterium_spiritivorum_HAMBI_1896"	"Comamonas_testosteroni_HAMBI_403"	"Agrobacterium_tumefaciens_HAMBI_105"	"Stenotrophomonas_maltophilia_HAMBI_2659"	"Myroides_odoratus_HAMBI_1923"	"Morganella_morganii_HAMBI_1292"	"Niabella_yanshanensis_HAMBI_3031"	"Bordetella_avium_HAMBI_2160"	"Sphingobacterium_multivorum_HAMBI_1874"	"Paracoccus_denitrificans_HAMBI_2443"	"Azorhizobium_caulinodans_HAMBI_216"	"Azospirillum_brasilense_HAMBI_3172"	"Hafnia_alvei_HAMBI_1279"	"Sphingobium_yanoikuyae_HAMBI_1842"	"Kluyvera_intermedia_HAMBI_1299"	"Roseomonas_gilardii_HAMBI_2470"	"Cupriavidus_necator_HAMBI_2164"	"Escherichia_coli_JE2571(RP4)"	"Paraburkholderia_caryophylli_HAMBI_2159"	"Chitinophaga_filiformis_HAMBI_1966"	"Thermomonas_haemolytica_HAMBI_2467"	"Moraxella_canis_HAMBI_2792"	"Acinetobacter_lwoffii_HAMBI_97"	"Pseudomonas_putida_HAMBI_6"	"Chitinophaga_sancti_HAMBI_1988"
"T12_I0_AB0_REP1"	0.0204454681853722	0.195061389235223	0.271306608059847	0.174615921049851	0.00260983495699584	0.326905602163944	5.28306671456647e-05	0	0	2.11322668582659e-05	0	0.00803026140614104	0.000940385875192832	0	0	1.05661334291329e-05	0	0	0	0	0	0	0	0	0	0	0	0	0
"T12_I0_AB0_REP2"	0.189564448374972	0.343533053283219	0.127658633650232	0.323192571302233	0.00397965951801901	0.000265310634534601	8.84368781782003e-05	0	0	0.000353747512712801	0	0	0.00853415874419633	0.000309529073623701	0	0.00252045102807871	0	0	0	0	0	0	0	0	0	0	0	0	0
"T12_I0_AB0_REP3"	0.159601668685238	0.274480778719777	0.193289373345893	0.280581348405329	0.0876059749697214	0	0	0	0.00062799982057148	0	0	0.00197371372179608	0.0015699995514287	8.971426008164e-05	0	0.00017942852016328	0	0	0	0	0	0	0	0	0	0	0	0	0
"T12_I0_AB0_REP4"	0.161163941225264	0.33833985069321	0.187388908638464	0.147810759568669	0.0813559070979974	0.00476952245526721	0.00659142078445313	0	0.0109758265197298	0.000792451712288186	0.0106573646166607	0.00708762886597938	0.0255880436070624	0.00835407038748667	0.00271803531224079	0.00615446142907927	0	0.000236994904609551	1.48121815380969e-05	0	0	0	0	0	0	0	0	0	0
"T12_I0_AB0_REP5"	0.174806307086809	0.285650634916706	0.23084729820045	0.1852273571128	0.0172776553875096	0.0133419144038219	0.0059902472833486	0.0403970395306815	0.00198024703581772	0.0017327161563405	0.00955469194782049	0.00727740785663011	0.00826753137453897	0.00903487710091834	7.42592638431644e-05	0.00740117329636872	0.000519814846902151	0	0.000272283967424936	0	0.000346543231268101	0	0	0	0	0	0	0	0
"T12_I0_AB0_REP6"	0.244143916413886	0.260532524435457	0.236434108527132	0.169194472531176	0.0185372430064038	0.00438153016514998	0.0136501516683519	0	0.0129760701044826	0.00387596899224806	0.00522413211998652	0.00168520390967307	0.00223289518031682	0.00463431075160094	0.019211324570273	0.00311762723289518	4.21300977418268e-05	0	0	0	0	0	0	0	0	0	0	0.00012639029322548	0
"T12_I0_AB0_REP7"	0.190098452883263	0.318424753867792	0.239099859353024	0.175414908579466	0.0222222222222222	0.00371308016877637	0.0069760900140647	0	0.00376933895921238	0.00759493670886076	0.010014064697609	0.00270042194092827	0.00180028129395218	0.0106891701828411	0.000168776371308017	0.00461322081575246	0.00230661040787623	0	0.000393811533052039	0	0	0	0	0	0	0	0	0	0
"T12_I0_AB0_REP8"	0.165095093495285	0.383650311650951	0.195301262585904	0.140722390922167	0.027968675083906	0.00823078152469234	0.00703212402109637	0.0426722071280166	0.00551382451654147	0.00399552501198657	0.00263704650791114	0.0045548985136647	0.00655266101965798	0.00191785200575356	7.99105002397315e-05	0.00391561451174684	0	0	0	0	0	0	0	0	0	0	0	0.000159821000479463	0
"T12_I0_AB128_REP1"	0.812824956672444	0.12998266897747	0	0	0.0291568967274952	0	0.00428178203690488	0.0148842899378122	0	0	0.00519930675909879	0	0	0	0.0023447854011622	0.00132531348761342	0	0	0	0	0	0	0	0	0	0	0	0	0
"T12_I0_AB128_REP2"	0.688981422165279	0.266175528507367	0	0	0.0118513773222293	0.0160153747597694	0.00192184497117233	0.00224215246636771	0	0	0.00608584240871236	0	0	0	0	0.00672645739910314	0	0	0	0	0	0	0	0	0	0	0	0	0
