species	T12_AB0_I0_REP1	T12_AB0_I0_REP2	T12_AB0_I0_REP3	T12_AB0_I1_REP1	T12_AB0_I1_REP2	T12_AB0_I1_REP3	T12_AB128_I0_REP1	T12_AB128_I0_REP2	T12_AB128_I0_REP3	T12_AB128_I1_REP1	T12_AB128_I1_REP2	T12_AB128_I1_REP3	T12_AB16_I0_REP1	T12_AB16_I0_REP2	T12_AB16_I0_REP3	T12_AB16_I1_REP1	T12_AB16_I1_REP2	T12_AB16_I1_REP3	T12_AB4_I0_REP1	T12_AB4_I0_REP2	T12_AB4_I0_REP3	T12_AB4_I1_REP1	T12_AB4_I1_REP2	T12_AB4_I1_REP3	T8_AB0_I0_REP1	T8_AB0_I0_REP2	T8_AB0_I0_REP3	T8_AB0_I1_REP1	T8_AB0_I1_REP2	T8_AB0_I1_REP3	T8_AB128_I0_REP1	T8_AB128_I0_REP2	T8_AB128_I0_REP3	T8_AB128_I1_REP1	T8_AB128_I1_REP2	T8_AB128_I1_REP3	T8_AB16_I0_REP1	T8_AB16_I0_REP2	T8_AB16_I0_REP3	T8_AB16_I1_REP1	T8_AB16_I1_REP2	T8_AB16_I1_REP3	T8_AB4_I0_REP1	T8_AB4_I0_REP2	T8_AB4_I0_REP3	T8_AB4_I1_REP1	T8_AB4_I1_REP2	T8_AB4_I1_REP3
1875	841	916	1015	893	546	921	938	834	1335	779	795	1161	514	891	900	561	1026	936	545	811	630	816	646	559	622	592	772	687	535	535	873	1114	1058	1157	677	1030	461	699	626	435	512	943	525	375	377	515	736	748
1287	143	149	258	189	297	235	3629	2403	4008	1294	1803	1957	981	1723	2107	885	928	1175	512	511	436	415	340	392	123	121	130	250	257	224	1880	2220	1970	2638	2062	2724	1514	2076	2086	1799	1617	2366	795	687	462	754	533	505
1977	5203	2278	2471	1588	1169	1284	0	0	0	939	1040	1101	847	734	763	638	618	695	598	709	597	1108	739	556	570	423	477	407	342	417	0	0	1	0	28	0	28	29	30	50	13	22	330	397	291	668	525	450
1972	4103	2768	2138	1886	1212	889	1	0	0	783	578	848	631	374	550	579	497	693	1045	669	593	1248	1129	734	716	533	609	525	373	392	2	1	1	1	1	0	4	6	9	7	5	8	98	121	129	169	137	95
1896	64	13	24	20	17	27	270	187	319	15	26	32	17	22	27	22	21	27	29	32	23	36	29	21	45	24	34	44	20	24	0	0	0	0	1	0	15	32	16	4	21	37	20	15	16	28	40	38
1292	2	15	7	9	8	9	0	0	0	10	2	17	0	0	0	10	4	13	10	18	12	16	18	20	4	3	7	10	8	9	0	0	1	0	1	0	0	0	0	3	0	0	2	4	5	8	6	8
1874	185	26	14	25	14	9	0	0	0	24	5	11	11	13	21	15	10	26	19	29	23	26	13	16	33	39	49	36	23	24	0	0	0	5	0	0	8	4	3	0	0	7	15	21	19	17	38	28
403	79	0	0	57	3	2	0	286	5	10	32	23	1	3	20	12	12	38	3	1	10	11	4	9	1	1	4	3	2	6	0	98	0	0	0	0	3	15	1	5	42	25	1	0	6	4	3	1
105	2	2	2	12	6	6	70	36	124	28	22	19	21	11	11	11	3	4	9	25	9	20	9	8	3	7	7	7	7	13	7	6	2	14	3	21	1	4	5	1	6	5	5	4	2	11	8	7
6	12	7	2	25	9	12	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2	4	4	11	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1299	0	0	0	0	0	2	3	0	0	2	0	2	0	0	1	0	0	0	0	1	2	2	0	0	0	0	0	10	1	0	1	0	0	2	0	0	0	0	0	3	1	1	0	0	0	1	0	0
1923	16	28	1	1	0	0	0	0	0	5	11	5	0	2	14	4	2	10	9	6	1	1	3	3	0	1	0	0	1	1	0	0	0	0	0	0	0	3	0	0	0	1	0	3	1	6	4	4
3031	0	9	1	2	0	1	68	57	60	1	1	3	0	1	2	1	0	0	1	3	0	4	1	6	0	2	1	0	2	0	23	31	20	19	12	7	0	2	2	3	0	7	0	0	0	1	5	2
K12	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1
2659	0	0	0	0	0	0	123	34	210	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23	2	2	6	0	5	0	0	0	0	0	0	0	0	0	0	0	0
2160	20	2	1	2	0	4	0	0	0	7	3	1	4	4	2	3	5	1	3	2	5	13	2	2	2	2	5	4	2	1	0	0	0	0	0	0	0	2	1	4	2	1	2	3	3	2	2	4
1279	0	0	0	4	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2443	1	2	1	2	0	1	0	0	0	4	7	3	0	0	0	5	2	8	3	6	5	5	6	5	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	3	1	2
3172	2	6	10	1	1	3	17	5	21	0	3	1	9	3	2	1	0	1	1	4	5	7	1	1	4	2	2	2	6	5	1	4	2	2	1	1	0	0	1	0	1	1	2	2	0	2	1	0
1842	0	0	0	1	1	0	0	0	0	6	0	1	0	0	0	1	1	3	0	0	0	5	1	1	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	2	3	2
216	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	1	1	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0
2470	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2164	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2159	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
