OTU ID	STOCK	T12_I0_AB0_REP1	T12_I0_AB0_REP2	T12_I0_AB0_REP4	T12_I0_AB0_REP3	T12_I0_AB0_REP5	T12_I0_AB0_REP6	T12_I0_AB0_REP8	T12_I0_AB128_REP1	T12_I0_AB128_REP5	T12_I0_AB0_REP7	T12_I0_AB128_REP4	T12_I0_AB128_REP3	T12_I0_AB128_REP2	T12_I0_AB16_REP1	T12_I0_AB128_REP8	T12_I0_AB16_REP4	T12_I0_AB128_REP7	T12_I0_AB128_REP6	T12_I0_AB4_REP7	T12_I0_AB16_REP5	T12_I0_AB16_REP3	T12_I0_AB4_REP5	T12_I0_AB4_REP1	T12_I0_AB16_REP8	T12_I0_AB4_REP6	T12_I0_AB16_REP6	T12_I0_AB4_REP3	T12_I0_AB4_REP4	T12_I0_AB4_REP2	T12_I0_AB4_REP8	T12_I1_AB0_REP4	T12_I1_AB0_REP8	T4_I0_AB0_REP5	T12_I1_AB128_REP4	T12_I0_AB16_REP2	T12_I1_AB0_REP1	T12_I1_AB0_REP5	T12_I1_AB0_REP6	T12_I1_AB16_REP8	T12_I1_AB0_REP7	T12_I1_AB128_REP5	T12_I1_AB0_REP2	T12_I1_AB0_REP3	T12_I1_AB128_REP7	T4_I0_AB0_REP6	T12_I1_AB128_REP3	T12_I1_AB16_REP5	T12_I1_AB4_REP2	T12_I1_AB128_REP1	T12_I1_AB16_REP1	T12_I1_AB16_REP6	T12_I1_AB16_REP2	T12_I1_AB4_REP4	T12_I1_AB4_REP8	T4_I0_AB0_REP7	T12_I1_AB4_REP7	T12_I1_AB16_REP4	T12_I1_AB16_REP7	T12_I1_AB4_REP5	T12_I1_AB128_REP2	T12_I1_AB16_REP3	T4_I0_AB128_REP5	T4_I0_AB128_REP6	T4_I0_AB128_REP7	T4_I1_AB0_REP3	T4_I1_AB0_REP7	T4_I0_AB0_REP4	T4_I0_AB0_REP8	T4_I0_AB128_REP2	T4_I0_AB16_REP6	T4_I0_AB16_REP7	T4_I0_AB16_REP8	T4_I0_AB4_REP4	T12_I1_AB128_REP8	T12_I1_AB4_REP6	T4_I0_AB0_REP1	T12_I1_AB4_REP1	T4_I0_AB0_REP3	T4_I0_AB128_REP3	T4_I0_AB128_REP8	T4_I0_AB4_REP5	T4_I0_AB4_REP6	T4_I1_AB0_REP8	T12_I1_AB4_REP3	T4_I0_AB128_REP1	T4_I0_AB128_REP4	T4_I0_AB16_REP2	T4_I0_AB16_REP4	T4_I1_AB0_REP6	T4_I1_AB128_REP6	T4_I1_AB16_REP5	T8_I0_AB128_REP2	T4_I0_AB0_REP2	T4_I0_AB16_REP5	T4_I0_AB4_REP1	T4_I0_AB4_REP2	T4_I0_AB4_REP7	T4_I1_AB0_REP5	T4_I1_AB16_REP2	T4_I1_AB16_REP3	T4_I1_AB16_REP7	T8_I0_AB0_REP8	T8_I0_AB128_REP1	T8_I0_AB128_REP8	T4_I0_AB16_REP1	T4_I0_AB16_REP3	T4_I0_AB4_REP3	T4_I1_AB0_REP1	T4_I1_AB0_REP4	T4_I1_AB128_REP4	T4_I1_AB128_REP5	T8_I0_AB0_REP5	T8_I0_AB128_REP6	T8_I0_AB16_REP4	T4_I0_AB4_REP8	T4_I1_AB0_REP2	T4_I1_AB128_REP2	T4_I1_AB128_REP7	T4_I1_AB16_REP1	T4_I1_AB16_REP4	T4_I1_AB16_REP6	T4_I1_AB16_REP8	T4_I1_AB4_REP5	T4_I1_AB4_REP6	T4_I1_AB4_REP7	T4_I1_AB4_REP8	T8_I0_AB0_REP3	T8_I0_AB0_REP4	T8_I0_AB0_REP7	T8_I0_AB128_REP3	T8_I0_AB128_REP7	T8_I1_AB128_REP4	T4_I1_AB128_REP1	T4_I1_AB128_REP3	T4_I1_AB128_REP8	T4_I1_AB4_REP2	T4_I1_AB4_REP3	T4_I1_AB4_REP4	T8_I0_AB0_REP1	T8_I0_AB0_REP2	T8_I0_AB128_REP4	T8_I0_AB16_REP1	T8_I0_AB16_REP5	T8_I0_AB16_REP6	T8_I0_AB4_REP4	T8_I1_AB0_REP4	T4_I1_AB4_REP1	T8_I0_AB0_REP6	T8_I0_AB128_REP5	T8_I0_AB16_REP2	T8_I0_AB16_REP3	T8_I0_AB16_REP7	T8_I0_AB16_REP8	T8_I0_AB4_REP1	T8_I0_AB4_REP2	T8_I0_AB4_REP3	T8_I0_AB4_REP5	T8_I0_AB4_REP6	T8_I0_AB4_REP7	T8_I0_AB4_REP8	T8_I1_AB0_REP2	T8_I1_AB0_REP3	T8_I1_AB0_REP5	T8_I1_AB0_REP6	T8_I1_AB0_REP7	T8_I1_AB128_REP1	T8_I1_AB128_REP5	T8_I1_AB128_REP6	T8_I1_AB128_REP7	T8_I1_AB16_REP3	T8_I1_AB16_REP7	T8_I1_AB4_REP4	T8_I1_AB0_REP1	T8_I1_AB0_REP8	T8_I1_AB128_REP2	T8_I1_AB128_REP3	T8_I1_AB128_REP8	T8_I1_AB16_REP1	T8_I1_AB16_REP2	T8_I1_AB16_REP4	T8_I1_AB16_REP5	T8_I1_AB16_REP6	T8_I1_AB16_REP8	T8_I1_AB4_REP2	T8_I1_AB4_REP3	T8_I1_AB4_REP5	T8_I1_AB4_REP6	T8_I1_AB4_REP7	T8_I1_AB4_REP8	T8_I1_AB4_REP1
Citrobacter_koseri_HAMBI_1287	1791653	1935	4287	21761	3558	7062	5795	2066	7973	1314	3379	623	2210	2151	477	436	354	681	597	150	327	503	62	181	225	71	171	177	96	205	72	60	65	43	86	460	58	51	15	91	67	51	55	92	59	59	280	121	60	241	116	42	156	62	27	49	34	143	141	40	254	138	43	58	124	62	50	51	44	95	46	21	32	64	87	54	43	73	79	56	47	28	33	76	77	68	51	64	50	51	65	54	155	47	53	58	45	31	71	34	95	52	15	130	82	46	79	46	63	31	29	36	16	137	113	58	39	21	29	61	42	33	56	47	67	49	59	15	17	19	158	110	90	64	29	56	49	37	36	12	10	32	105	107	98	28	19	55	19	32	106	101	92	118	42	43	37	29	34	42	36	36	18	20	12	32	141	84	86	88	114	99	37	25	22	113	124	29	63	85	84	88	28	54	38	32	38	55	49	35	41
Elizabethkingia_meningoseptica_HAMBI_1875	1706222	18461	7769	45684	6119	11540	6184	4801	1275	2290	5660	2339	1083	831	384	1358	943	812	1444	411	764	397	519	226	937	295	468	245	598	296	256	288	259	144	279	472	159	192	213	320	242	117	116	153	168	160	204	143	137	157	74	128	150	89	131	172	93	305	237	160	163	161	95	112	239	43	91	124	162	111	100	85	105	99	119	69	55	148	35	84	129	118	74	57	106	116	139	120	133	61	86	56	99	57	113	59	92	99	77	71	131	76	95	88	86	60	100	34	36	87	85	83	88	147	84	52	17	53	68	76	71	96	45	71	81	64	68	95	104	81	92	119	74	72	77	74	47	50	34	72	50	49	49	66	53	77	64	76	74	23	71	64	75	58	59	33	39	59	48	50	71	47	47	42	52	66	88	101	64	77	71	47	65	61	39	56	95	58	31	41	55	50	61	64	63	52	69	48	66	55	55
Aeromonas_caviae_HAMBI_1972	1159423	25677	2887	25302	4309	9326	5612	2444	0	0	4250	1902	0	0	198	1066	0	319	0	527	750	168	388	360	0	349	531	147	661	160	434	300	446	71	441	97	180	209	238	0	283	171	86	84	275	110	100	190	115	53	55	341	66	180	150	119	160	0	0	247	65	73	125	108	0	25	78	173	98	81	87	68	99	80	147	166	52	134	59	41	80	79	102	94	65	48	93	69	73	80	34	65	0	54	108	29	52	53	84	29	31	64	85	0	0	36	53	33	38	34	41	41	56	0	1	105	26	20	52	30	63	52	87	52	47	48	38	28	52	86	1	0	0	46	39	77	25	26	56	30	27	80	0	2	1	29	60	47	68	38	1	1	1	2	10	7	13	34	21	17	27	19	29	41	32	47	0	0	0	0	0	4	15	25	59	0	0	70	0	0	1	8	54	4	12	15	15	16	26	26	10
Pseudomonas_chlororaphis_HAMBI_1977	812361	16526	7309	19958	6255	7483	4016	1761	0	0	3118	2296	0	0	629	1591	819	1350	86	436	892	334	341	245	0	274	318	181	444	222	310	203	166	118	95	260	143	140	161	252	241	153	93	104	103	146	126	181	66	126	82	243	59	126	101	149	69	0	8	196	92	72	116	87	0	53	161	128	93	52	21	50	54	47	140	110	55	162	53	45	88	81	31	92	96	18	110	45	57	79	4	3	0	35	37	41	15	117	74	28	51	86	56	0	0	27	36	34	4	70	42	42	63	0	41	78	15	35	51	43	61	57	3	47	58	53	44	28	54	66	0	0	0	46	40	72	29	24	34	35	27	42	4	11	7	46	41	36	73	31	3	3	10	10	43	33	15	25	39	37	57	25	24	70	55	55	0	0	0	0	4	7	33	26	75	6	0	51	6	0	8	11	59	8	39	25	43	63	43	50	42
Sphingobacterium_spiritivorum_HAMBI_1896	103626	247	90	10985	1953	698	440	350	286	0	395	305	200	37	14	207	10	172	55	107	99	32	140	34	0	156	94	35	217	7	96	276	98	20	85	8	1	54	212	6	173	35	1	13	51	44	8	57	5	9	4	112	19	51	33	51	38	0	6	71	5	8	36	38	0	3	31	56	35	11	23	28	32	63	56	53	5	9	7	6	52	40	47	36	1	3	55	9	49	29	16	47	0	2	54	1	7	43	51	5	7	32	21	2	0	1	8	3	2	32	21	28	30	0	36	56	0	2	34	0	35	31	23	31	24	9	28	6	30	23	0	0	0	5	5	39	2	1	23	4	7	26	1	44	26	21	45	2	30	10	2	3	27	17	7	3	6	16	27	27	22	7	10	23	28	30	0	2	1	0	10	33	19	13	29	0	0	16	2	4	19	24	18	8	11	6	19	18	34	16	4
Comamonas_testosteroni_HAMBI_403	31	30939	6	644	0	539	104	103	0	0	66	105	0	50	1	29	0	21	14	7	82	0	31	0	4	7	11	5	16	0	45	4	15	0	24	0	9	21	27	0	10	17	0	0	24	3	0	28	0	0	0	17	0	4	4	11	1	0	0	0	5	1	11	2	0	0	12	8	3	0	12	0	4	11	34	2	0	0	0	0	2	5	8	4	1	2	6	2	16	4	9	2	1	0	9	0	0	2	9	0	0	4	3	0	0	0	0	0	0	6	1	5	4	0	0	7	0	0	1	0	3	8	13	0	2	3	2	2	1	1	0	0	0	0	0	3	0	0	1	0	0	3	0	16	16	4	6	0	6	8	3	0	18	25	0	0	0	6	1	0	0	0	0	2	8	8	0	0	0	0	2	24	0	0	4	0	0	4	3	3	24	6	5	7	0	0	3	1	2	1	0
Agrobacterium_tumefaciens_HAMBI_105	48820	5	2	890	0	242	324	88	42	0	124	85	51	6	0	83	47	100	3	101	81	1	31	1	0	9	39	1	22	15	59	17	4	16	31	11	0	9	11	27	8	30	0	2	17	27	3	25	0	5	2	23	0	9	14	41	4	0	16	16	1	3	15	20	0	0	12	53	17	1	4	9	11	18	14	17	0	2	2	1	8	12	22	9	0	1	6	1	19	25	3	17	1	3	20	0	2	20	10	3	0	19	5	1	0	0	1	0	0	10	3	2	6	0	9	8	0	1	3	1	12	8	5	7	10	3	6	0	6	4	0	1	0	0	3	6	1	0	7	0	0	7	0	6	12	5	6	1	14	1	2	0	3	10	0	0	0	5	4	8	11	0	1	17	5	7	1	23	15	15	1	2	0	0	4	2	0	6	0	0	6	9	8	3	0	1	4	8	7	2	0
Stenotrophomonas_maltophilia_HAMBI_2659	32916	0	0	0	0	1632	0	534	146	971	0	0	165	7	0	0	15	0	325	1	15	0	0	0	94	0	4	0	0	0	0	0	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	7	92	0	0	0	0	0	8	0	0	4	5	0	13	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	0	0	4	0	0	3	0	0	0	0	1	6	231	0	0	0	0	0	0	0	7	10	0	5	0	0	0	0	0	0	8	0	0	0	0	0	0	0	1	12	296	0	0	0	0	0	0	0	0	0	0	12	20	0	0	0	0	0	0	0	0	2	0	0	0	0	0	1	0	0	0	0	0	0	2	57	19	119	0	0	0	0	0	0	0	0	0	0	1	2	0	3	0	0	0	0	0	0	0
Myroides_odoratus_HAMBI_1923	26361	0	0	1482	14	80	308	69	0	0	67	96	0	0	0	32	0	17	0	38	0	10	47	1	0	76	19	1	42	4	42	33	40	13	53	8	4	94	45	0	53	0	2	1	27	26	1	14	4	2	2	21	9	29	18	10	13	0	0	10	2	5	13	26	0	1	12	30	18	1	0	12	6	38	14	25	1	0	0	3	21	10	7	17	1	0	18	1	16	25	10	18	0	0	19	0	1	13	36	2	0	6	7	0	0	1	1	0	0	34	10	8	9	0	3	21	2	0	16	2	29	17	8	15	9	13	10	0	10	8	0	0	0	0	1	5	0	1	15	0	2	10	0	4	0	7	14	0	16	4	2	0	3	1	1	0	1	10	6	2	4	1	2	7	10	9	0	0	0	0	0	4	3	0	10	0	0	4	0	0	5	3	7	2	1	1	1	4	7	5	0
Morganella_morganii_HAMBI_1292	27610	2	8	107	0	70	92	50	0	0	135	71	0	0	0	0	0	0	0	54	28	0	32	23	0	61	0	19	44	15	46	81	29	5	9	0	3	52	69	8	58	19	2	8	8	13	11	21	13	13	3	21	7	22	6	21	6	0	0	27	1	5	14	16	0	4	28	14	9	5	5	15	6	27	24	41	1	4	2	5	15	16	9	18	3	4	15	3	19	10	54	51	0	1	19	1	3	13	28	3	4	18	11	0	0	2	3	5	4	19	16	19	7	0	0	10	6	2	23	2	10	7	14	14	10	12	4	4	13	4	0	0	0	2	8	12	9	1	17	1	1	4	0	0	0	1	18	1	3	0	0	0	0	0	0	1	1	3	8	4	3	1	3	14	26	21	0	0	0	0	0	0	8	4	10	1	0	3	0	0	1	5	0	1	1	1	3	6	3	4	4
