"sample"	"strain"	"median"
"T12_AB0_I0_REP1"	"RP4"	0
"T12_AB0_I0_REP1"	"1972"	604
"T12_AB0_I0_REP1"	"6"	40
"T12_AB0_I0_REP1"	"K12"	0
"T12_AB0_I0_REP1"	"2494"	0
"T12_AB0_I0_REP1"	"2159"	0
"T12_AB0_I0_REP1"	"2792"	0
"T12_AB0_I0_REP1"	"2443"	7
"T12_AB0_I0_REP1"	"1292"	2
"T12_AB0_I0_REP1"	"3172"	7
"T12_AB0_I0_REP1"	"1988"	0
"T12_AB0_I0_REP1"	"2659"	0
"T12_AB0_I0_REP1"	"1279"	0
"T12_AB0_I0_REP1"	"1992"	2
"T12_AB0_I0_REP1"	"1966"	0
"T12_AB0_I0_REP1"	"97"	0
"T12_AB0_I0_REP1"	"2164"	0
"T12_AB0_I0_REP1"	"1896"	30
"T12_AB0_I0_REP1"	"105"	9
"T12_AB0_I0_REP1"	"1874"	27
"T12_AB0_I0_REP1"	"1923"	2
"T12_AB0_I0_REP1"	"1287"	57
"T12_AB0_I0_REP1"	"3031"	7
"T12_AB0_I0_REP1"	"216"	2
"T12_AB0_I0_REP1"	"1299"	0
"T12_AB0_I0_REP1"	"1977"	431
"T12_AB0_I0_REP1"	"2160"	7
"T12_AB0_I0_REP1"	"3237"	0
"T12_AB0_I0_REP1"	"403"	5
"T12_AB0_I0_REP1"	"2467"	0
"T12_AB0_I0_REP1"	"262"	0
"T12_AB0_I0_REP1"	"1875"	370
"T12_AB0_I0_REP1"	"1842"	0
"T12_AB0_I0_REP1"	"2948"	0
"T12_AB0_I0_REP2"	"RP4"	0
"T12_AB0_I0_REP2"	"1972"	569
"T12_AB0_I0_REP2"	"6"	24
"T12_AB0_I0_REP2"	"K12"	0
"T12_AB0_I0_REP2"	"2494"	0
"T12_AB0_I0_REP2"	"2159"	0
"T12_AB0_I0_REP2"	"2792"	0
"T12_AB0_I0_REP2"	"2443"	13
"T12_AB0_I0_REP2"	"1292"	4
"T12_AB0_I0_REP2"	"3172"	13
"T12_AB0_I0_REP2"	"1988"	0
"T12_AB0_I0_REP2"	"2659"	0
"T12_AB0_I0_REP2"	"1279"	0
"T12_AB0_I0_REP2"	"1992"	0
"T12_AB0_I0_REP2"	"1966"	0
"T12_AB0_I0_REP2"	"97"	0
"T12_AB0_I0_REP2"	"2164"	0
"T12_AB0_I0_REP2"	"1896"	39
"T12_AB0_I0_REP2"	"105"	11
"T12_AB0_I0_REP2"	"1874"	15
"T12_AB0_I0_REP2"	"1923"	3
"T12_AB0_I0_REP2"	"1287"	62
"T12_AB0_I0_REP2"	"3031"	10
"T12_AB0_I0_REP2"	"216"	2
"T12_AB0_I0_REP2"	"1299"	0
"T12_AB0_I0_REP2"	"1977"	479
"T12_AB0_I0_REP2"	"2160"	6
"T12_AB0_I0_REP2"	"3237"	0
"T12_AB0_I0_REP2"	"403"	4
"T12_AB0_I0_REP2"	"2467"	0
"T12_AB0_I0_REP2"	"262"	0
"T12_AB0_I0_REP2"	"1875"	400
"T12_AB0_I0_REP2"	"1842"	0
"T12_AB0_I0_REP2"	"2948"	0
"T12_AB0_I0_REP3"	"RP4"	0
"T12_AB0_I0_REP3"	"1972"	452
"T12_AB0_I0_REP3"	"6"	21
"T12_AB0_I0_REP3"	"K12"	0
"T12_AB0_I0_REP3"	"2494"	0
"T12_AB0_I0_REP3"	"2159"	0
"T12_AB0_I0_REP3"	"2792"	0
"T12_AB0_I0_REP3"	"2443"	16
"T12_AB0_I0_REP3"	"1292"	4
"T12_AB0_I0_REP3"	"3172"	11
"T12_AB0_I0_REP3"	"1988"	0
"T12_AB0_I0_REP3"	"2659"	0
"T12_AB0_I0_REP3"	"1279"	0
"T12_AB0_I0_REP3"	"1992"	2
"T12_AB0_I0_REP3"	"1966"	0
"T12_AB0_I0_REP3"	"97"	0
"T12_AB0_I0_REP3"	"2164"	0
"T12_AB0_I0_REP3"	"1896"	37
"T12_AB0_I0_REP3"	"105"	10
"T12_AB0_I0_REP3"	"1874"	15
"T12_AB0_I0_REP3"	"1923"	4
"T12_AB0_I0_REP3"	"1287"	57
"T12_AB0_I0_REP3"	"3031"	11
"T12_AB0_I0_REP3"	"216"	1
